Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Main Position,Keep
L. Ramazani,Valencia,Valencia,"RW, LAMF, AMF",25,5000000,30/06/2028,16,650,4,4.02,1,0.84,19.66,42.96,Belgium,"Belgium, Burundi",right,168,55,yes,5.26,4.57,45.45,1.25,22.22,0.14,0.23,0,3.05,4.96,1.8,4,0.55,0,0,4.71,0.55,1,0.14,0.56,0,0,22,3.05,40.91,18.182,0.14,3.18,26.09,1.25,33.33,1.94,21.43,0.69,4.02,62.07,11.49,46.99,3.74,2.77,0.14,21.46,2.08,1.38,26.45,70.68,7.62,61.82,5.54,90,7.48,68.52,22.02,77.99,1.38,50,16.23,10.71,0.12,0.97,0,0.14,0.69,20,0.42,3.05,72.73,2.91,42.86,0.83,33.33,1.11,1.25,5.95,76.74,0,,0,,0,0,0,0,,,0,,,0,0,0,0.28,3,100,Spain La Liga 2025-26,RW,keep
David Raya,Arsenal,Arsenal,GK,30,35000000,30/06/2028,30,3022,0,0,0,0,0.86,89.66,Spain,Spain,right,183,80,no,1.37,0.03,100,0.39,100,0,0,0,1.34,2.03,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,80,0,0,0,15.93,0.3,0.27,23.83,87.25,15.55,81.99,0.03,100,7.68,97.29,15.1,97.63,8.7,69.52,31.81,51.5,0,0,0,0.03,0,0,0,4.14,63.31,0.27,11.11,0.15,20,0,0,7.09,82.35,22,0.66,73,2.17,14,69.86,23.14,0.69,1.14,0.034,0,1.43,0.39,,,,0,0,0,England Premier League 2025-26,GK,Keep
V. van Dijk,Liverpool,Liverpool,LCB,34,30000000,30/06/2027,29,2943,3,3.72,0,0.04,10.52,69.48,Netherlands,"Netherlands, Suriname",right,193,92,no,5.08,1.8,69.49,6.3,70.87,0.03,0.05,0.52,3.79,5.97,0.4,4,0.12,0,0,0.31,0.09,3,0.09,0.11,3,0.09,23,0.7,39.13,13.043,0,0.06,0,0.06,0,0,0,0,0.06,50,0.43,57.14,1.16,1.16,0.03,47.06,0.31,0.4,60.7,91.03,26.02,82.96,2.6,96.47,25.75,97.74,55.5,94.71,5.14,52.38,20.38,47.51,0,0.06,0.03,0,0,0,0,11.99,79.08,0.83,33.33,0.52,29.41,0.31,0,9.54,83.01,0,,0,,0,0,0,0,,,1.74,,,0,0,0,0,0,0,England Premier League 2025-26,LCB,Keep
G. Vicario,Tottenham Hotspur,Tottenham Hotspur,GK,29,35000000,30/06/2028,29,2932,0,0,0,0,0.83,77.78,Italy,Italy,right,194,85,no,1.63,0.09,66.67,0.55,83.33,0.03,0.04,0,1.53,2.21,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,18.48,0.12,0.09,26.09,87.18,13.26,75.69,0,0,12,99.23,17.56,98.25,8.53,64.39,30.11,47.59,0,0,0,0,0,0,0,2.95,58.33,0.15,40,0.15,20,0.03,0,6.63,76.39,46,1.41,125,3.84,7,63.2,41.92,1.29,-4.08,-0.125,0,1.5,0.55,,,,0,0,0,England Premier League 2025-26,GK,Keep
D. Petrović,Bournemouth,Bournemouth,GK,26,20000000,30/06/2030,29,2919,0,0,0,0,0.83,84.62,Serbia,Serbia,right,194,89,no,1.47,0.1,33.33,0.7,90.91,0,0,0,1.44,1.99,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0.48,0.06,17.1,83.02,8.87,69.78,0,0,7.34,98.26,11.07,97.41,6.03,56.61,31.41,48.62,0,0,0,0,0,0,0,1.47,32.61,0.06,0,0.13,25,0,0,4.47,70,46,1.47,137,4.37,7,66.42,43.98,1.4,-2.02,-0.064,0,2.07,0.7,,,,0,0,0,England Premier League 2025-26,GK,Keep
B. Leno,Fulham,Fulham,GK,34,13000000,30/06/2027,29,2917,0,0,0,0,0.99,90.63,Germany,Germany,right,190,82,no,1.23,0.09,100,0.8,88.46,0,0,0,1.14,1.52,0,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,19.16,0.25,0.12,27.49,90.24,13.24,82.05,0.03,0,13.21,97.9,20.92,98.23,6.57,64.79,26.8,50.14,0,0,0,0,0,0,0,1.23,50,0.09,0,0.03,0,0,0,5.25,70.59,43,1.33,116,3.58,5,62.93,36.92,1.14,-6.08,-0.188,0,1.64,0.8,,,,0,0,0,England Premier League 2025-26,GK,Keep
B. Verbruggen,Brighton,Brighton,GK,23,18000000,30/06/2028,29,2915,0,0,0,0,0.62,80,Netherlands,Netherlands,right,194,75,no,1.02,0.09,33.33,0.4,92.31,0,0,0,0.99,1.4,0.06,3,0.09,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.09,100,0,0,0,22.75,0.31,0.06,31.49,87.35,14.63,74.47,0.03,0,14.54,98.94,23.62,98.95,7.81,52.96,28.05,50.45,0,0,0,0,0,0,0,3.67,46.22,0.37,16.67,0.4,61.54,0.03,0,5.31,69.19,36,1.11,118,3.64,6,69.49,34.11,1.05,-1.89,-0.058,0,1.2,0.4,,,,0,0,0,England Premier League 2025-26,GK,Keep
M. Dúbravka,Burnley,Burnley,GK,37,1000000,30/06/2026,29,2907,0,0,0,0,1.18,73.68,Slovakia,Slovakia,right,190,83,no,1.21,0.06,100,0.96,74.19,0,0,0,1.15,1.27,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,13.07,0.15,0.09,18.24,87.78,10.28,80.42,0.03,0,7.34,97.47,10.87,97.44,7.37,73.53,31.41,48.03,0,0,0,0,0,0,0,1.89,77.05,0.06,50,0.12,25,0.03,0,5.88,81.05,58,1.8,173,5.36,3,66.47,55.19,1.71,-2.81,-0.087,0,2.14,0.96,,,,0,0,0,England Premier League 2025-26,GK,Keep
D. Henderson,Crystal Palace,Crystal Palace,GK,28,12000000,30/06/2028,29,2904,0,0,0,0,0.84,77.78,England,England,right,188,85,no,1.15,0.06,50,0.62,95,0,0,0,1.12,1.36,0.03,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,13.39,0.15,0.12,19,80.42,11.56,69.17,0.03,100,6.51,99.05,9.92,98.44,9.02,61.17,35.99,52.91,0,0,0,0,0,0,0,4.21,56.62,0.28,55.56,0.37,33.33,0.09,0,6.76,78.9,35,1.08,121,3.75,10,71.07,40.4,1.25,5.4,0.167,0.03,1.64,0.62,,,,0,0,0,England Premier League 2025-26,GK,Keep
J. Bowen,West Ham United,West Ham United,"RW, RAMF, CF",29,50000000,30/06/2030,29,2886,8,7.4,4,4.41,19.52,42.97,England,"England, Wales",left,175,70,no,5.3,3.99,59.38,2.43,30.77,0.5,0.58,0.06,2.43,2.82,0.53,4,0.12,0,0,4.37,0.25,7,0.22,0.23,1,0.03,65,2.03,35.38,12.308,0.12,2.59,25.3,0.16,20,2.4,25.97,0.41,5.15,56.97,10.91,42.29,3.56,2.84,0.5,15.31,1.37,1.37,20.52,71.58,4.71,58.94,4.62,93.92,5.71,66.12,17.18,79.85,0.87,39.29,17.33,20.16,0.14,0.81,0.06,0,0.16,40,0.34,1.56,58,2,42.19,0.19,33.33,0.59,0.62,2.9,70.97,0,,0,,0,0,0,0,,,0.25,,,0.09,0.03,0,0.94,1,100,England Premier League 2025-26,RW,Keep
